sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,targetConceptId,targetConceptName,targetVocabularyId,targetDomainId,targetStandardConcept,targetChildCount,targetParentCount,targetConceptClassId,targetConceptCode,targetValidStartDate,targetValidEndDate,targetInvalidReason
446992999,"EAST ASIA, NFD",-1,,0.3387186527252197,APPROVED,4329578,Far east country,SNOMED,Observation,S,6,1,Location,223580003,19700101,20991231,
16435907,ZIMBABWE,-1,,1.0,APPROVED,4073744,Zimbabwe,SNOMED,Observation,S,0,1,Location,223551007,19700101,20991231,
14837986,4217,-1,,0.0,UNCHECKED,0,Unmapped,,,,0,0,,,,,
18244961,COOK ISLANDS,-1,,0.5955864191055298,UNCHECKED,4123208,Island,SNOMED,Observation,S,0,1,Location,288560006,19700101,20991231,
18633348,NICARAGUA,-1,,1.0,APPROVED,4072758,Nicaragua,SNOMED,Observation,S,0,1,Location,223695005,19700101,20991231,
14712800,PAKISTAN,-1,,1.0,APPROVED,4329586,Pakistan,SNOMED,Observation,S,0,1,Location,223603007,19700101,20991231,
14838029,LITHUANIA,-1,,1.0,APPROVED,4329600,Lithuania,SNOMED,Observation,S,0,1,Location,223653001,19700101,20991231,
446994091,"BONAIRE, SINT EUSTATIUS AND SABA",-1,,0.45115527510643005,UNCHECKED,4329167,Bonaire,SNOMED,Observation,S,0,2,Location,223361004,19700101,20991231,
23053393,911,-1,,0.0,UNCHECKED,0,Unmapped,,,,0,0,,,,,
14713839,SWITZERLAND,-1,,1.0,APPROVED,4330427,Switzerland,SNOMED,Observation,S,0,1,Location,223642007,19700101,20991231,
14661971,TONGA,-1,,1.0,APPROVED,4330421,Tonga,SNOMED,Observation,S,0,1,Location,223628004,19700101,20991231,
14575348,ENGLAND,-1,,1.0,APPROVED,4320168,England,SNOMED,Observation,S,0,1,Location,223664003,19700101,20991231,
14894808,LATVIA,-1,,1.0,APPROVED,4320319,Latvia,SNOMED,Observation,S,0,1,Location,223652006,19700101,20991231,
14575768,MALTA,-1,,1.0,APPROVED,4330437,Malta,SNOMED,Observation,S,0,1,Location,223670009,19700101,20991231,
14575803,POLAND,-1,,1.0,APPROVED,4329597,Poland,SNOMED,Observation,S,0,1,Location,223640004,19700101,20991231,
17048375,NOT ELSEWHERE CLASSIFIED,-1,,0.1795160323381424,UNCHECKED,4111062,Third rail electrified line,SNOMED,Observation,S,0,1,Location,285091009,19700101,20991231,
